License_Holder,Dispensary_Name,Street,City,State,ZIP,Phone,License_Issue_Date,Credential_Number,License_Section
HIGHLIFE GROUP LLC,284.000333-CL,10/11/2022,,,,,10/11/2022,284.000333-CL,Active Adult Use
"INLABS I, LLC",284.000334-CL,10/11/2022,,,,,10/11/2022,284.000334-CL,Active Adult Use
"RENU, LLC",284.000338-CL,12/2/2022,,,,,11/21/2024,284.000338-CL,Active Adult Use
"JG IL, LLC",284.000339-CL,1/20/2023,,,,,,284.000339-CL,Active Adult Use
"Eagle Dispensaries of Illinois, LLC",284.000337-CL,1/25/2023,,,,,,284.000337-CL,Active Adult Use
"JG IL, LLC",284.000343-CL,8/2/2023,,,,,,284.000343-CL,Active Adult Use
MARIWORKS LLC,284.000217-CL,7/22/2022,,,,,,284.000217-CL,Active Adult Use
PARKWAY DISPENSARY,284.000173-CL,7/22/2022,,,,,,284.000173-CL,Active Adult Use
"SEVEN POINT OF ILLINOIS, LLC",284.000316-CL,7/29/2022,,,,,,284.000316-CL,Active Adult Use
BOLDEN INVESTMENTS I LLC,284.000174-CL,7/22/2022,,,,,,284.000174-CL,Active Adult Use
"DEEPROOTZ, LLC",284.000175-CL,7/22/2022,,,,,,284.000175-CL,Active Adult Use
"WEST SIDE COLLABORATIVE, LLC",284.000176-CL,7/22/2022,,,,,,284.000176-CL,Active Adult Use
"CLEAN SLATE OPCO, LLC",284.000177-CL,7/22/2022,,,,,,284.000177-CL,Active Adult Use
"ILLINOIS HEALTH & WELLNESS, LLC",284.000218-CL,7/22/2022,,,,,,284.000218-CL,Active Adult Use
"INDUS365, LLC",284.000312-CL,7/29/2022,,,,,,284.000312-CL,Active Adult Use
"DEER PARK PARTNERS, LLC",284.000229-CL,7/22/2022,,,,,,284.000229-CL,Active Adult Use
"ILLINOIS WORKS, LLC",284.000219-CL,7/22/2022,,,,,,284.000219-CL,Active Adult Use
GRD ILLINOIS LLC,284.000311-CL,7/29/2022,,,,,,284.000311-CL,Active Adult Use
GREEN SKIES - ILLINOIS I LLC,284.000209-CL,7/22/2022,,,,,,284.000209-CL,Active Adult Use
"NORTHERN CARDINAL VENTURES, LLC",284.000233-CL,7/22/2022,,,,,,284.000233-CL,Active Adult Use
"SOCIAL EQUITY INVESTMENTS, L.L.C.",284.000223-CL,7/22/2022,,,,,,284.000223-CL,Active Adult Use
"EXXOTIC STRAINS, LLC.",284.000265-CL,7/22/2022,,,,,,284.000265-CL,Active Adult Use
WORLD OF WEED,284.000230-CL,7/22/2022,,,,,,284.000230-CL,Active Adult Use
"FELLO, INC.",284.000303-CL,7/29/2022,,,,,,284.000303-CL,Active Adult Use
"PROJECT EQUITY ILLINOIS, INC.",284.000319-CL,8/12/2022,,,,,,284.000319-CL,Active Adult Use
"RENU, LLC",284.000336-CL,12/2/2022,,,,,11/21/2024,284.000336-CL,Active Adult Use
"VHEA, LLC",284.000344-CL,07/31/2023,,,,,07/31/2025,284.000344-CL,Active Adult Use
DMR WELLNESS LLC,284.000224-CL,7/22/2022,,,,,,284.000224-CL,Active Adult Use
GREEN JUSTICE LLC,284.000210-CL,7/22/2022,,,,,,284.000210-CL,Active Adult Use
"HEARTLAND LEAF, LLC",284.000165-CL,7/22/2022,,,,,,284.000165-CL,Active Adult Use
"WAH GROUP, LLC D/B/A LEAFING LIFE",284.000166-CL,7/22/2022,,,,,,284.000166-CL,Active Adult Use
BLOUNTS&MOORE,284.000241-CL,7/22/2022,,,,,,284.000241-CL,Active Adult Use
BOLDEN INVESTMENTS I LLC,284.000167-CL,7/22/2022,,,,,,284.000167-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000254-CL,7/22/2022,,,,,,284.000254-CL,Active Adult Use
"CTY ENTERPRISES, LLC",284.000168-CL,7/22/2022,,,,,,284.000168-CL,Active Adult Use
"EMERALD COAST, LLC",284.000258-CL,7/22/2022,,,,,,284.000258-CL,Active Adult Use
"ILLINOISCANNABIS49, INC.",284.000169-CL,7/22/2022,,,,,,284.000169-CL,Active Adult Use
TATICH 3 LLC,284.000234-CL,7/22/2022,,,,,,284.000234-CL,Active Adult Use
"AMERICANNA DREAM, LLC",284.000302-CL,7/29/2022,,,,,,284.000302-CL,Active Adult Use
"FORTUNATE SON PARTNERS, LLC",284.000304-CL,7/29/2022,,,,,,284.000304-CL,Active Adult Use
"PROJECT EQUITY ILLINOIS, INC.",284.000320-CL,8/12/2022,,,,,,284.000320-CL,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",284.000330-CL,09/20/2022,,,,,09/20/2022,284.000330-CL,Active Adult Use
BOLDEN INVESTMENTS III LLC,284.000178-CL,7/22/2022,,,,,,284.000178-CL,Active Adult Use
"DEALERSHIP, LLC",284.000179-CL,7/22/2022,,,,,,284.000179-CL,Active Adult Use
HERBAN QUALITY CONTROL,284.000220-CL,7/22/2022,,,,,,284.000220-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000242-CL,7/22/2022,,,,,,284.000242-CL,Active Adult Use
"CANNDID SPIRIT TOO, LLC",284.000231-CL,7/22/2022,,,,,,284.000231-CL,Active Adult Use
KANA GROVE NORTH LLC,284.000170-CL,7/22/2022,,,,,,284.000170-CL,Active Adult Use
KAP-JG LLC,284.000211-CL,7/22/2022,,,,,,284.000211-CL,Active Adult Use
"UHCC, INC.",284.000307-CL,7/29/2022,,,,,,284.000307-CL,Active Adult Use
"DO MOR DEVELOPMENT, LLC",284.000212-CL,7/22/2022,,,,,,284.000212-CL,Active Adult Use
"KUSH21 CHICAGO, LLC",284.000213-CL,7/22/2022,,,,,,284.000213-CL,Active Adult Use
"TRIUMPH 7 INVESTMENTS, LLC",284.000225-CL,7/22/2022,,,,,,284.000225-CL,Active Adult Use
"WESTSIDE SOCIAL JUSTICE, LLC",284.000308-CL,7/29/2022,,,,,,284.000308-CL,Active Adult Use
"WESTSIDE SOCIAL JUSTICE, LLC",284.000309-CL,7/29/2022,,,,,,284.000309-CL,Active Adult Use
"ALLGREENS DISPENSARY, LLC",284.000171-CL,7/22/2022,,,,,,284.000171-CL,Active Adult Use
"LIGHTHOUSE DISPENSING COMPANY, LLC",284.000172-CL,7/22/2022,,,,,,284.000172-CL,Active Adult Use
"HOLISTIC ILLINOIS, LLC",284.000305-CL,7/29/2022,,,,,,284.000305-CL,Active Adult Use
"TC APPLICO, LLC",284.000306-CL,7/29/2022,,,,,,284.000306-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000255-CL,7/22/2022,,,,,,284.000255-CL,Active Adult Use
"NAVADA LABS, LLC",284.000226-CL,7/22/2022,,,,,,284.000226-CL,Active Adult Use
"V3 ILLINOIS VENDING, LLC",284.000227-CL,7/22/2022,,,,,,284.000227-CL,Active Adult Use
"127 IL, LLC",284.000314-CL,7/29/2022,,,,,,284.000314-CL,Active Adult Use
"JG IL, LLC",284.000340-CL,1/20/2023,,,,,,284.000340-CL,Active Adult Use
"PEOPLE DISPENSARY, LLC",284.CL.4448522,5/3/2024,,,,,10/31/2025,,Active Adult Use
"26. SWEET EMERALD, LLC",284.CL.4448457,5/3/2024,,,,,10/31/2025,,Active Adult Use
