BUSINESS_NAME,BUSINESS_EMAIL,BUSINESS_PHONE,BUSINESS_ADDRESS_1,BUSINESS_ADDRESS_2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP_CODE,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_STATE,MAILING_ZIP_CODE,EIN_TIN,LICENSE_NUMBER,LICENSE_TYPE,REVIEW_PRIORITY,FIRST_COMPLIANCE_REVIEW_DATE,CNB_DEEMED_COMPLETE_DATE,APPROVED_LICENSE_STAGE,LICENSE_STATUS,LIC_FEE_PAYMENT_SUBMITTED_DATE,LICENSE_FEE_AMOUNT,PHYSICAL_ADDRESS_1,PHYSICAL_ADDRESS_2,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,CULTIVATION_ENVIRONMENT,CULTIVATION_TIER,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_DATE_OF_MUNICIPAL_RESPONSE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_DATE_OF_FINAL_INSPECTION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,CNB_DATE_OF_FINAL_LICENSURE,COMMENCE_OPERATIONS_DATE,LICENSE_ORIGINAL_START_DATE,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_SUSPENSION_START_DATE,LICENSE_SUSPENSION_END_DATE,LICENSE_REVOCATION_DATE,LICENSE_SURRENDERED_DATE,SOURCE_FILE,APPLICATION_DENIED_DATE,APPROVED_SE_NUMBER,APPLICATION_APPROVED_DATE,ORIGINAL_SUBMITTED_DATE,APPLICATION_CREATED_DATE,APPLICATION_STATUS,SUBMITTED_DATE,PAYMENT_AMOUNT,APPLICATION_NUMBER,ESTABLISHMENT_ADDRESS_1,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_CITY,ESTABLISHMENT_STATE,ESTABLISHMENT_ZIP_CODE,REVIEW_PRIORITY_CATEGORY,REVIEW_PRIORITY_TYPE,COMMENCE_OPS,INDUSTRY
"Turning Leaf Centers Otis, LLC",sajkhan@prodigy.net,732-406-1000,1570 north main road,,Otis,MA,02153,PO Box 1328,,East Otis,MA,01029,83-4630336,MP281704,Marijuana Product Manufacturer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,1570 North Main Road,,Otis,02153,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281704,1570 North Main Road,,Otis,MA,02153,General Applicant,General Applicant,FALSE,Adult-Use
"Turning Leaf Centers Otis, LLC",sajkhan@prodigy.net,732-406-1000,1570 north main road,,Otis,MA,02153,PO Box 1328,,East Otis,MA,01029,83-4630336,MR282126,Marijuana Retailer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,1570 North Main Road,,Otis,02153,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282126,1570 North Main Road,,Otis,MA,02153,General Applicant,General Applicant,FALSE,Adult-Use
"Reverie 73 Lowell, LLC",jblack@frfields.com,978-835-7855,"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,01876,"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,01876,83-4635997,MR283066,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,1148 Bridge St,,Lowell,01852,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283066,1148 Bridge Street,,Lowell,MA,01852,General Applicant,General Applicant,FALSE,Adult-Use
Massbiotics Inc.,nick@lakeshorelegalsolutions.com,508-943-7800,35 Armory Street,,Worcester,MA,01603,35 Armory Street,,Worcester,MA,01603,83-4640547,MC283288,Marijuana Cultivator,General Applicant,,,IN PROCESS,Surrendered,,,35 Armory Street,,Worcester,01603,False,No,,,,,,,,,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,400,MCN283288,35 Armory Street,,Worcester,MA,01603,General Applicant,General Applicant,FALSE,Adult-Use
MassBiotics Inc.,nick@lakeshorelegalsolutions.com,508-943-7800,35 Armory Street,,Worcester,MA,01603,35 Armory Street,,Worcester,MA,01603,83-4640547,MP282017,Marijuana Product Manufacturer,General Applicant,,,IN PROCESS,Surrendered,,,35 Armory Street,,Worcester,01603,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN282017,35 Armory Street,,Worcester,MA,01603,General Applicant,General Applicant,FALSE,Adult-Use
Royal Hemp LLC,levkelman@gmail.com,917-449-5033,660 Cheshire Rd. ,,Lanesborough,MA,01224,660 Cheshire Rd.,,Lanesborough,MA,01224,83-4641649,MP281741,Marijuana Product Manufacturer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,660 Cheshire Road,,Lanesborough,01224,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281741,660 Cheshire Road,,Lanesborough,MA,01224,General Applicant,General Applicant,FALSE,Adult-Use
Royal Hemp LLC,levkelman@gmail.com,917-449-5033,660 CHESHIRE ROAD,,LANESBOROUGH,MA,01224,660 CHESHIRE ROAD,,LANESBOROUGH,MA,01224,83-4641649,MR282799,Marijuana Retailer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,660 Cheshire Road,,Lanesborough,01224,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282799,660 Cheshire Road,,Lanesborough,MA,01224,General Applicant,General Applicant,FALSE,Adult-Use
Impressed LLC,Shahram@impressedma.com,617-331-9748,15 Commercial Waye,,Hanson,MA,02341,10 Stonegate Lane,,Dover,MA,02030,83-4651822,MC282148,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Active,,5000,15 Commercial Waye,,Hanson,02341,False,No,,,,,,,,,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN282148,15 Commercial Waye,,Hanson,MA,02341,General Applicant,General Applicant,FALSE,Adult-Use
Impressed LLC,s.moghaddam@yahoo.com,617-331-9748,15 Commercial Way,,Hanson,MA,02341,10 Stonegate Lane,,Dover,MA,02030,83-4651822,MP281823,Marijuana Product Manufacturer,General Applicant,,,FINAL LICENSE,Active,,10000,15 Commercial Way,,Hanson,02341,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281823,15 Commercial Way,,Hanson,MA,02341,General Applicant,General Applicant,FALSE,Adult-Use
"Grow Rite, LLC",jonkimnj@gmail.com,732-236-4306,162 Milford St.,,Upton,MA,01568,9 Freeland St,UNIT 1 L,Worcester,MA,01603,83-4670920,MC282541,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Expired,,1250,162 Milford St,,Upton,01568,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN282541,162 Milford Street,,Upton,MA,01568,General Applicant,General Applicant,FALSE,Adult-Use
Raíces on the Hill LLC,jack@jackscannabisco.com,515-460-8350,123 Terrace Street,,Boston,MA,02120,123 Terrace Street,,Boston,MA,02120,83-4706346,MR284380,Marijuana Retailer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,123 Terrace Street,,Boston,02120,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284380,123 Terrace Street,,Boston,MA,02120,General Applicant,General Applicant,FALSE,Adult-Use
Paper City Industries LLC,contact@papercityindustries.com,877-212-6334,11 Berkshire Street,,Holyoke,MA,01040,223 N. Guadalupe,#502,Santa Fe,NM,87501,83-4719234,MC282163,Marijuana Cultivator,General Applicant,,,PROVISIONAL LICENSE,Expired,,25000,11 Berkshire Street,,Holyoke,01040,False,No,,,,,,,,,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,2000,MCN282163,11 Berkshire Street,,Holyoke,MA,01040,General Applicant,General Applicant,FALSE,Adult-Use
Paper City Industries LLC,contact@papercityindustries.com,877-212-6334,11 Berkshire Street,,Holyoke,MA,01040,"223 N. Guadalupe, #502",,Santa Fe,NM,87501,83-4719234,MP281674,Marijuana Product Manufacturer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,11 Berkshire Street,,Holyoke,01040,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281674,11 Berkshire Street,,Holyoke,MA,01040,General Applicant,General Applicant,FALSE,Adult-Use
Delta 420 LLC,kalra33@gmail.com,617-838-3000,199 Main Street,,Blackstone,MA,01504,199 Main Street,,Blackstone,MA,01504,83-4720355,MR281779,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,199 Main Street,,Blackstone,01504,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281779,199 Main Street,,Blackstone,MA,01504,General Applicant,General Applicant,FALSE,Adult-Use
"Sun Grown Alternatives, LLC",lcohen4@yahoo.com,413-732-7433,0 Progress Avenue,,Westfield,MA,01085,55 State Street,Suite 206,Springfield,MA,01103,83-4723440,MC283358,Marijuana Cultivator,General Applicant,,,IN PROCESS,Surrendered,,,0 Progress Avenue,,Westfield,01085,False,No,,,,,,,,,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,2000,MCN283358,0 Progress Avenue,,Westfield,MA,01085,General Applicant,General Applicant,FALSE,Adult-Use
"Green Theory Cultivation, LLC",harsh@greentheory.farm,478-231-6282,845 Pleasant St,,Lee,MA,01238,41 Pine Ridge Rd,,Eastman ,GA,31023,84-1756692,MP281848,Marijuana Product Manufacturer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,845 Pleasant Street,,Lee,01238,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281848,845 Pleasant Street,,Lee,MA,01238,Expedited Review,DBE Status,FALSE,Adult-Use
"J - B.A.M., INC.",monique2823@gmail.com,860-402-0605,72 DOWNING PKWY BLDG A,,Pittsfield,MA,01201,P.O. Box 311,,East Otis,MA,01029,84-1776607,MC282510,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Active,,1250,71 DOWNING PKWY BLDG A,,Pittsfield,01201,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN282510,71 Downing Pkwy Bldg A,,Pittsfield,MA,01201,General Applicant,General Applicant,FALSE,Adult-Use
"J-B.A.M., Inc",monique@j-bam.net,860-402-0605,: 71 DOWNING PKWY BLDG A,,Pittsfield,MA,01021,PO Box 311,,East Otis,MA,01029,84-1776607,MP282172,Marijuana Product Manufacturer,General Applicant,,,FINAL LICENSE,Active,,10000,71 Downing Parkway Building A,,Pittsfield,02101,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN282172,71 Downing Parkway Building A,,Pittsfield,MA,02101,General Applicant,General Applicant,FALSE,Adult-Use
EVG FARMS LLC,seanberte77@gmail.com,617-595-6090,883 HYDE PARK AVE,,HYDE PARK,MA,02136,31 ALDRICH ST,,ROSLINDALE,MA,02131,84-1844471,MR284535,Marijuana Retailer,Priority Review - Economic Empowerment Priority,,,FINAL LICENSE,Active,,5000,883 Hyde Park Ave,,Boston,02136,true,Yes,EE201867,,APPROVED,EE201867,EE201867,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303515,,,,APPROVED,,,MRN284535,883 Hyde Park Avenue,,Boston,MA,02136,Priority Review,Economic Empowerment Priority,FALSE,Adult-Use
"Krishna Lenox, LLC",nbshah54@gmail.com,413-329-1158,55 Pittsfield Road,,Lenox,MA,02140,55 Pittsfield Road,,Lenox,MA,02140,84-1852782,MR283357,Marijuana Retailer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,55 Pittsfield Road,"Unit #2, Lenox Commons",Lenox,02140,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283357,55 Pittsfield Road,"Unit #2, Lenox Commons",Lenox,MA,02140,Expedited Review,DBE Status,FALSE,Adult-Use
"Zip Run, Inc.",gabe@ziprun.com,617-960-6393,160 Orlando street ,,Mattapan ,MA,02126,160 Orlando street,,Mattapan,MA,02126,84-1868442,DO100102,Marijuana Courier,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,1170 Morrissey Blvd,,Boston,02122,False,No,SE303983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303983,,,,APPROVED,,,DOA100102,1170 Morrissey Boulevard,,Boston,MA,02122,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Zyp Run, Inc.",gabe@ziprun.com,617-960-6393,160 Orlando street,,Mattapan,MA,02126,160 Orlando street,,Mattapan,MA,02126,84-1868442,MD1260,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,,1170 Morrissey Blvd ,,Boston,02122,False,No,SE303983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303983,,,,APPROVED,,,MDA1260,1170 Morrissey Boulevard,,Boston,MA,02122,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Zip Run ,gabe@ziprun.com,617-960-6393,160 Orlando street ,,Mattapan ,MA,02126,160 Orlando street,,Mattapan,MA,02126,84-1868442,PDO103039,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE303983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303983,,,,APPROVED,,,PDOA103039,160 Orlando Street,,Mattapan,MA,02126,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Zip Run, Inc.",gabe@ziprun.com,617-960-6393,160 Orlando street,,Mattapan,MA,02126,160 Orlando street,,Mattapan,MA,02126,84-1868442,PMD5814,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE303983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303983,,,,APPROVED,,,PMDA5814,160 Orlando Street,,Mattapan,MA,02126,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"MINUTEMAN FARM, LLC",richardgbarry@yahoo.com,413-302-0377,238 PIPER ROAD,,ASHBY,MA,01431,P O BOX 583 ,,TOWNSEND,MA,01469,84-1868708,MC282504,Marijuana Cultivator,General Applicant,,,PROVISIONAL LICENSE,Expired,,1250,238 PIPER ROAD,,Ashby,01431,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN282504,238 Piper Road,,Ashby,MA,01431,General Applicant,General Applicant,FALSE,Adult-Use
SAN Holdings LLC,thane.2016@outlook.com,774-444-5333,21 Second Street,,Taunton,MA,02780,21 Second Street,,Taunton,MA,02780,84-1874682,MC282372,Marijuana Cultivator,Expedited Review - Two or More,,,PROVISIONAL LICENSE,Expired,,1250,0 Hart Street (Raw Land) (Assessor's Parcel 94-151),"No Current Official address (Industrial zoning, which allows this use) (we can provide the subidivision plan if you need)",Taunton,02780,False,Yes,SE304216,,,,,,,,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304216,,,,APPROVED,,,MCN282372,0 Hart Street (Raw Land) (Assessor'S Parcel 94-151),"No Current Official Address (Industrial Zoning, Which Allows This Use) (We Can Provide The Subidivision Plan If You Need)",Taunton,MA,02780,Expedited Review,Two or More,FALSE,Adult-Use
SAN Holdings LLC,thane.2016@outlook.com,774-444-5333,21 Second Street,,Taunton,MA,02780,21 Second Street,,Taunton,MA,02780,84-1874682,MR282449,Marijuana Retailer,Expedited Review - DBE Status,,,PROVISIONAL LICENSE,Expired,,10000,0 Hart Street (Raw Land) (Assessor's Parcel 94-151) (near intersection of Route 24 and Hart Street),No Current Official  address (Industrial Zoning District where this use is allowed) (we can provide subdisivion plan),Taunton,02780,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304216,,,,APPROVED,,300,MRN282449,0 Hart Street (Raw Land) (Assessor'S Parcel 94-151) (Near Intersection Of Route 24 And Hart Street),No Current Official Address (Industrial Zoning District Where This Use Is Allowed) (We Can Provide Subdisivion Plan),Taunton,MA,02780,Expedited Review,DBE Status,FALSE,Adult-Use
New Green LLC,devine.retail@gmail.com,518-821-5299,71 main Street,,South Egremont,MA,01258,P.O. Box 22,,South Egremont,MA,01258,84-1895926,MR282969,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,71 Main Street,,Egremont,01258,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN282969,71 Main Street,,Egremont,MA,01258,General Applicant,General Applicant,FALSE,Adult-Use
GTE Franklin LLC,GTEPARTNERSLLC@gmail.com,508-846-5941,120 Bergeron Way,,Stoughton,MA,02072,120 Bergeron Way,,Stoughton,MA,02072,84-1898710,MR282766,Marijuana Retailer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,1256 West Central St,,Franklin,02038,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282766,1256 West Central Street,,Franklin,MA,02038,Expedited Review,DBE Status,FALSE,Adult-Use
"Calverde Naturals, LLC ",stomasello@atlanticretail.com,617-797-2999,219-237 Boston Post Road West,,Marlborough,MA,01752,10 Briarwood Lane,,WInchester,MA,01890,84-1907300,MR283208,Marijuana Retailer,Expedited Review - DBE Status,,,PROVISIONAL LICENSE,Expired,,10000,219-237 Boston Post Road West,,Marlborough,01752,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283208,219-237 Boston Post Road West,,Marlborough,MA,01752,Expedited Review,DBE Status,FALSE,Adult-Use
"Calverde Naturals, LLC ",stomasello@atlanticretail.com,617-797-2999,1010 Pleasant Street,,Belmont,MA,02478,10 Briarwood Lane,,WInchester,MA,01890,84-1907300,MR283258,Marijuana Retailer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,1010 Pleasant Street,,Belmont,02478,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283258,1010 Pleasant Street,,Belmont,MA,02478,Expedited Review,DBE Status,FALSE,Adult-Use
"The Hub Craft, LLC",Howard@thehubcraft.com,310-437-9985,25 Newport Street,,Fitchburg,MA,01420,308 N. California Street,,San Gabriel,CA,91775,84-1927817,MC282323,Marijuana Cultivator,General Applicant,,,PROVISIONAL LICENSE,Expired,,5000,25 Newport Street,,Fitchburg,01420,False,No,,,,,,,,,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN282323,25 Newport Street,,Fitchburg,MA,01420,General Applicant,General Applicant,FALSE,Adult-Use
"The Hub Craft, LLC",Howard@thehubcraft.com,310-437-9985,25 Newport Street,,Fitchburg,MA,91775,308 N. California Street,,San Gabriel,CA,91775,84-1927817,MP281740,Marijuana Product Manufacturer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,25 Newport Street,,Fitchburg,01420,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281740,25 Newport Street,,Fitchburg,MA,01420,General Applicant,General Applicant,FALSE,Adult-Use
Sama Productions LLC,generalpushing@gmail.com,914-263-6627,42 South Main Street,,Sandisfield,MA,01255,28 Priscilla Avenue,,Yonkers,NY,10710,84-1950575,MC282179,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Active,,20000,42 South Main Street,,Sandisfield,01255,False,No,,,,,,,,,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,2000,MCN282179,42 South Main Street,,Sandisfield,MA,01255,General Applicant,General Applicant,FALSE,Adult-Use
HOLYOKE 420 LLC ,blakemensing@gmail.com,781-964-5159,100 STATE STREET,9TH FLOOR,BOSTON,MA,02109,380 Dwight Street ,Suite 3,Holyoke,MA,01040,84-1956595,MR282703,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,380 Dwight Street,Suite 3,Holyoke,01040,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282703,380 Dwight Street,Suite 3,Holyoke,MA,01040,General Applicant,General Applicant,FALSE,Adult-Use
LMCC LLC,flaviahungaro@hotmail.com,508-740-7243,30 Sherwood drive,,Taunton,MA,02780,"8 Bartlett Way, unit 4",,Waltham,MA,02452,84-1976891,MC281565,Marijuana Cultivator,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,1250,30 Sherwood Drive,,Taunton,02780,False,Yes,SE304245,,,,,,,,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304245,,,,APPROVED,,600,MCN281565,30 Sherwood Drive,,Taunton,MA,02780,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"LMCC, LLC",flaviahungaro@hotmail.com,508-740-7243,30 Sherwood Drive,,Taunton,MA,02780,16 Holden Road ,,Belmont,MA,02478,84-1976891,MP282039,Marijuana Product Manufacturer,Expedited Review - Two or More,,,PROVISIONAL LICENSE,Expired,,5000,30 Sherwood Drive,,Taunton,02780,False,Yes,SE304245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304245,,,,APPROVED,,,MPN282039,30 Sherwood Drive,,Taunton,MA,02780,Expedited Review,Two or More,FALSE,Adult-Use
"LMCC, LLC",flaviahungaro@hotmail.com,508-740-7243,93 County Street,,Taunton,MA,02780,"8 Bartlett Way, unit 4",,Waltham,MA,02452,84-1976891,MR282796,Marijuana Retailer,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,5000,93 County Street,,Taunton,02780,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282796,93 County Street,,Taunton,MA,02780,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"LMCC, LLC",flaviahungaro@hotmail.com,508-740-7243,128 Myricks Street,,Berkley,MA,02779,8 Bartlett Way,,Waltham,MA,02452,84-1976891,MR282885,Marijuana Retailer,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,5000,128 Myricks Street,,Berkley,02779,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282885,128 Myricks Street,,Berkley,MA,02779,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"LMCC, LLC",flaviahungaro@hotmail.com,508-740-7243,30 Sherwood Drive,,Taunton,MA,02780,16 Holden Road,,Belmont,MA,02478,84-1976891,PMD5901,Marijuana Delivery Operator Pre-Certification,Expedited Review - Two or More,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE304245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304245,,,,APPROVED,,,PMDA5901,30 Sherwood Drive,,Taunton,MA,02780,Expedited Review,Two or More,FALSE,Adult-Use
"Verdant Reparative, Inc.",titojacksonstrategies@gmail.com,781-507-3987,37 Schuyler Street,,Dorchester,MA,02121,37 Schuyler Street,,Dorchester,MA,02121,84-1991433,MP282085,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,5000,150 State Street,,Boston,02109,true,Yes,SE304957,,,,,APPROVED,RP201927,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,,MPN282085,150 State Street,,Boston,MA,02109,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Verdant Reparative, Inc.",titojacksonstrategies@gmail.com,781-507-3987,37 Schuyler Street,,Dorchester,MA,02121,37 Schuyler Street,,Dorchester,MA,02121,84-1991433,MR282752,Marijuana Retailer,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,5000,150 State Street,,Boston,02109,true,Yes,SE304957,,,,,APPROVED,RP201927,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,,MRN282752,150 State Street,,Boston,MA,02109,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Green Armory Laboratories, Inc",pwboss@aol.com,978-807-8048,124 West Boylston Street,,Worcester,MA,01606,124 West Boyston Street,,Worcester,MA,01606,84-2001435,IL281311,Independent Testing Laboratory,Expedited Review - License Type,,,PROVISIONAL LICENSE,Expired,,10000,124 West Boyston Street,,Worcester,01606,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,ILN281311,124 West Boyston Street,,Worcester,MA,01606,Expedited Review,License Type,FALSE,Adult-Use
